ARX	FOXL2	KLHDC8A	NRK	SIGLEC11	WFIKKN2
1.69897000434	1.50514997832	2.06069784035	1.30102999566	1.41497334797	2.35410843915	
1.54406804435	1.34242268082	1.96378782735	1.14612803568	0.954242509439	1.34242268082	
1.71600334363	1.57978359662	2.35024801833	1.57978359662	1.65321251378	2.1105897103	
1.57978359662	1.64345267649	2.04532297879	0.698970004336	1.49136169383	2.26007138799	
1.74036268949	1.69019608003	2.5078558717	1.23044892138	1.92427928606	1.53147891704	
1.36172783602	1.38021124171	2.11727129566	0.903089986992	1.36172783602	1.95904139232	
1.81291335664	1.64345267649	2.44404479592	0.698970004336	1.75587485567	1.6232492904	
1.85733249643	1.85733249643	2.30749603791	0.954242509439	1.53147891704	2.40483371662	
1.7923916895	1.55630250077	2.12710479836	1.51851393988	1.34242268082	2.35602585719	
1.93951925262	1.77815125038	2.49968708262	1.36172783602	1.74818802701	1.74818802701	
1.87506126339	1.60205999133	2.60314437262	1.2552725051	1.74036268949	1.14612803568	
1.86332286012	1.67209785794	2.22788670461	1.36172783602	1.36172783602	1.88081359228	
1.73239375982	1.64345267649	2.36735592103	1.50514997832	1.60205999133	2.40483371662	
1.83250891271	1.66275783168	2.25285303098	0.845098040014	1.30102999566	2.26007138799	
1.7075701761	1.67209785794	2.47421626408	1.27875360095	1.86332286012	2.24303804869	
1.91907809238	1.73239375982	2.31806333496	1.47712125472	1.53147891704	2.67394199863	
1.56820172407	1.53147891704	1.91381385238	0.903089986992	1.38021124171	2.02938377769	
1.91907809238	1.69897000434	2.41497334797	1.39794000867	1.71600334363	2.22271647115	
1.8260748027	1.74818802701	2.24054924828	1.11394335231	1.38021124171	2.29225607136	
1.7923916895	1.49136169383	2.09342168516	0.698970004336	1.60205999133	1.99122607569	
1.74818802701	1.55630250077	2.69810054562	1.20411998266	1.83250891271	1.32221929473	
1.80617997398	1.47712125472	2.20411998266	1.36172783602	1.39794000867	2.12385164097	
1.49136169383	1.07918124605	1.86332286012	0.903089986992	0.954242509439	1.93951925262	
1.83884909074	1.7075701761	2.29003461136	1.32221929473	1.60205999133	1.7242758696	
1.69897000434	1.65321251378	2.06445798923	0.903089986992	1.36172783602	2.3242824553	
1.54406804435	1.51851393988	2.18469143082	0.845098040014	1.54406804435	2.35410843915	
1.7075701761	1.6232492904	2.28555730901	0.903089986992	1.68124123738	1.80617997398	
1.89209460269	1.51851393988	2.42975228	1.73239375982	1.64345267649	2.25042000231	
1.43136376416	1.36172783602	2.1303337685	1.14612803568	1.41497334797	1.50514997832	
1.74036268949	1.74036268949	2.67760695272	1.41497334797	1.9731278536	1.8260748027	
1.85125834872	1.61278385672	2.14921911266	0.954242509439	1.41497334797	1.7923916895	
1.73239375982	1.71600334363	2.24303804869	1.14612803568	1.47712125472	2.61489721603	
1.57978359662	1.53147891704	2.00432137378	0.778151250384	1.11394335231	1.87506126339	
1.50514997832	1.34242268082	2.07188200731	0.778151250384	1.57978359662	1.39794000867	
1.81954393554	1.71600334363	2.3384564936	1.44715803134	1.34242268082	1.95424250944	
